English,Reference,marian_translation,mbart_translation,mt5_translation
"However, Ruhail was arrested under section 404 for hiding the facts and possessions of the deceased.","अलबत्ता, रूहैल को तथ्यों व मृतक के सामान को छिपाने के लिए धारा 404 के तहत हिरासत में ले लिया गया है।","लेकिन, मृत जनों की वास्तविकताओं और सम्पत्ति को छिपाने के लिए आत्मावाद को भाग ४०४ में गिरफ्तार कर लिया गया ।","However, Ruhail was arrested under section 404 for hiding the facts and possessions of the deceased",<extra_id_0>
The Maharaja of the dynastic capital has arranged some magnificent cuisine from the majestic palaces.,खानदानी राजधानी के महाराज ने आपके लिए राजसी महलों के शानदार व्यंजनों का प्रबंध किया है।,इस शहर की शान बहुत बढ़ गयी है ।,The Maharaja of the dynastic capital has arranged some magnificent cuisine from the majestic palaces.,<extra_id_0>
"These special dishes will be available in all the restaurants of the dynastic capital from November 1st to the 5th, in your city.",यह खास प्रबंध एक से लेकर पांच नवंबर तक आपके शहर के सभी खानदानी राजधानी रेस्तराओं में रहेगा।,"ये विशेष व्यंजन नवंबर 1 से लेकर आपके शहर में, डेनस्ट राजधानी के सभी होटलों में उपलब्ध होंगे ।","These special dishes will be available in all the restaurants of the dynastic capital from November 1st to the 5th, in your city.",<extra_id_0>
One must enjoy the heritage of these enriched recipes from the dynastic capital this Diwali with your family and friends.,खानदानी राजधानी के इस बेहद समृद्ध व्यंजनों की विरासत का इस दीवाली पर अपने परिवार व मित्रों के साथ जरूर मजा लें।,एक व्यक्‍ति को अपने परिवार और दोस्तों के साथ इस घटिया राजधानी से प्राप्त इन समृद्ध रेसिपिों की विरासत का आनन्द लेना चाहिए ।,You can enjoy this Diwali with your family and friends.,<extra_id_0>
"Crispy Pea Rolls, Surti Plaza, Barsa Dola, Hariwali Patra, Jodhpuri Pakaros, Dakor na Gota nu Chat and Lilava Kachori will be awaiting you in the Special Diwali Thali.","इस बार की स्पेशल दीवाली थाली में आपको मटर खस्ता रोल, सूरती प्लाजा, बारसा डोला, हरी वाली पात्रा, जोधपुरी पकोड़ा, डकोर ना गोटा नू चाट और लीलवा कचौरी आप का खास तौर पर इतजार कर रहे है।","Scippppophs, Scutio, Hiwolial, जोर पाका पारोरोस, Daka Nu चैट और Lolapapapy में आप का इंतज़ार किया जाएगा विशेष Dadyyyyyyy.","Crispy Pea Rolls, Surti Plaza, Barsa Dola, Hariwali Patra, Jodhpuri Pakaros, Dakor na Gota nu Chat and Lilava Kachori will be awaiting you in the Special Diwali Thali.",<extra_id_0>.
"Traditional recipes with vegetables such as Surti Udhiyu, Jaisalmer Panch Kuta, Pithaud ki sabji, Jodhpuri Gatta, Sagaru ke kofte, Rabodi Hara Pyaj, Til wale Aloo, Makai Mirch and Jajaria are included.","सब्जियों में परंपरागत व्यंजन जैसे की सूरती उधियू, जैसलमेर पंच कुटा, पिथौड़ की सब्जी, जोधपुरी गट्टा, सागरी के कोफते, राबोदी हरा प्याज, तिल वाले आलू, मकई मिरच और जजरिया शामिल किए गए है।","इन सब के अलावा, वे अपने बच्चों को भी अपने साथ ले जाते हैं ।","Traditional recipes with vegetables such as Surti Udhiyu, Jaisalmer Panch Kuta, Pithaud ki sabji, Jodhpuri Gatta, Sagaru ke kofte, Rabodi Hara Pyaj, Til wale Aloo, Makai Mirch and Jajaria are included.",<extra_id_0> -
"The best way to end a regal meal is with desserts like Apple Jalebi, Tomato Halwa, Walnut Halwa, Dudh Pak, Date Barfi, Dryfruit Halwa, Makai Jajaria and Sutar Saini Kheer.","मीठे में एैपल जलेबी, टमाटर हलवा, अखरोट हलवा, दूध पाक, खजूर बर्फी, ड्राईफू्रट हलवा, मकई जजारिया और सूतार सैनी खीर आपके इस राजसी भोजन को समाप्त करने का एक बेहतरीन ढग होगा।","स्वादिष्ट भोजन का अंत करने का सबसे अच्छा तरीका है, एपीहाआ, टोटोवा, वागावा, वासा, वद, तारीखेधा, बैरा, फलावा, माकाना और सुबरा केर की तरह स्वादिष्ट खाना बनाने का सबसे अच्छा तरीका है।","The best way to end a regal meal is with desserts like Apple Jalebi, Tomato Halwa, Walnut Halwa, Dudh Pak, Date Barfi, Dryfruit Halwa, Makai Jajaria and Sutar Saini Kheer.",<extra_id_0>
Presenting CAT's trendy footwear and clothing collection.,कैट की ट्रैडी फुटवियर और परिधानों की सिलेक्शन पेश,सी.टी.एस.आई.,Presenting CAT's trendy footwear and clothing collection.,<extra_id_0>
Chandigarh: On the occasion of the festival of lights the internationally renowned brand CAT presented a collection of trendy footwear and clothing.,चंडीगढ़ः प्रकाश के पर्व पर अंतरराष्ट्रीय ख्याति प्राप्त ब्रांड कैट ने ट्रैडी फुटवियर और परिधानों की सिलेक्शन को पेश किया है।,"Carghhh: अंतर्राष्ट्रीय जानी - मानी ब्रांडी के पर्व के अवसर पर, समाज - गुरुओं और कपड़ों का एक संग्रह पेश किया गया ।",Chandigarh: On the occasion of the festival of lights the internationally renowned brand CAT presented a collection of trendy footwear and clothing.,<extra_id_0>
"CAT is a brand that has been offering strong, durable, beautiful and high quality products for the past one hundred years.","कैट एक ऐसा ब्राड है जो पिछले सौ साल से मजबूत, टिकाऊ, सुंदर और बेहतरीन उत्पाद पेश कर रहा है।",सी. टी. वी.,"CAT is a brand that has been offering strong, durable, beautiful and high quality products for the past one hundred years.",<extra_id_0>
Each of its products is made in the USA and represents the true CAT lifestyle.,इसका हर उत्पाद यूएसए में पैदा हुआ है और सही मायने में कैट लाइफस्टाइल को पेश करता है।,इसकी हर चीज़ यू. एस.,Each of its products is made in the USA and represents the true CAT lifestyle.,<extra_id_0>
It is the perfect gift for your relatives and loved ones.,यह आपके सगे संबंधियों और प्रियजनों के लिए एक समूचा उपहार है।,यह आपके रिश्‍तेदारों और प्रिय जनों के लिए एक परिपूर्ण उपहार है ।,It is the perfect gift for your relatives and loved ones.,<extra_id_0>
"This collection is ideal for the modern shopper who like this style of footwear, whether female or male.",यह कलेक्शन स्टाइल पसंद करने वाले आधुनिक शॉपर्स के लिए है जो शानदार फुटवियर की रेज को पसंद करते है चाहे वह महिला हों या पुरुष।,यह संग्रह आधुनिक दुकान - चालकों के लिए एक आदर्श है जो स्त्री या पुरुष की तरह है ।,"This collection is ideal for the modern shopper who like this style of footwear, whether female or male.",<extra_id_0>
"Available in this style are mid-cuts and wheel boots along with slip-ons and sandals made of premium leather, suede and canvas.","इसके स्टाइल में मिटकट और चक्का बूट्स से लेकर प्रिमियम लेदर, सुवेड और कैनवस के स्लिपऑन और सैंडल उपलब्ध है।","इस शैली में उपलब्ध हैं और चक्रों के बीच में और जूते जूते जूते, लम और कैनवास के साथ बनाया है.","Available in this style are mid-cuts and wheel boots along with slip-ons and sandals made of premium leather, suede and canvas.",<extra_id_0>
To make this footwear collection even more impressive even a denim range is also available.,इसकी फुटवियर कलेक्शन को चार चाद लगाने के लिए डेनिम की रेज भी उपलब्ध है।,इस पैर के संग्रह को और भी प्रभावशाली बनाने के लिए भी उपलब्ध है ।,To make this footwear collection even more impressive even a denim range is also available.,<extra_id_0>
"It includes woven trousers, graphic T-shirts, polo neck T-shirts, shorts, skirts and jackets.","इसमें वूवन पैंट्स, ग्राफिक टीज, पोलो टी शर्टे, शर्टे, शॉट्स, स्कर्टे और जैकेटें इत्यादि शामिल है।","इसमें पैंक्रियाज़, चित्र टी-लैक्स, फ़ो- गरदन त्स, छोटे, कपड़े और जैकेट शामिल हैं.","It includes woven trousers, graphic T-shirts.",<extra_id_0> English to Hindi
"CAT, in a way, is the blend of durability and lifestyle.",कैट एक तरह से मजबूती और लाइफ स्टाइल का मिलन है।,सी. टी.,"CAT, in a way, is the blend of durability and lifestyle.",<extra_id_0>
Luggage and travel gear is also available here.,यहा पर लगेज और ट्रैवल गियर भी उपलब्ध रहते है।,यहाँ भी Luggagov और यात्रा के सामान उपलब्ध हैं.,Luggage and travel gear is also available here.,<extra_id_0>
"MRF has been awarded the JD Power Award, for the tenth time in a row.",एमआरएफ लगातार दसवीं बार जेडी पावर पुरस्कार से सम्मानित,"MRF को JD शक्‍ति Aagad, एक पंक्ति में दसवें समय के लिए दिया गया है.","JD Power Award, for the tenth time in a row",<extra_id_0>
"Chandigarh: India's largest tyre manufacturer and one of the top 15 global tyre companies, MRF has been awarded the JD Power award for the tenth time in a row.",चंडीगढ़ः भारत की सबसे बड़ी टायर निर्माता कंपनी और शीर्ष 15 वैश्विक टायर कंपनियों में से एक एमआरएफ को लगातार दसवीं बार जेडी पावर पुरस्कार से सम्मानित किया गया है।,"Cargargh: भारत का सबसे बड़ा निर्माता और शीर्ष 15 वैश्विक कंपनियों में से एक, MRF को एक पंक्ति में दसवें समय के लिए JDF पुरस्कार पुरस्कार दिया गया है।",MRF has been awarded the JD Power award for the tenth time in a row.,<extra_id_0>
This award is widely considered the equivalent of the Oscars by peers in the automotive sector and it is the most recognized in the industry.,यह पुरस्कार व्यापक रूप से मोटर वाहन क्षेत्र में साथियों द्वारा आस्कर के समकक्ष माना जाता है और उद्योग में सबसे ज्यादा मान्यता रखता है।,इस पुरस्कार को व्यापक रूप से ऑटोमा क्षेत्र में समकक्षों द्वारा समकक्षों के बराबर माना जाता है और यह उद्योग में सबसे पहचाना जाता है ।,This award is widely considered the equivalent of the Oscars by peers in the automotive sector and it is the most recognized in the industry.,<extra_id_0>
Very few companies have received this award for so many consecutive years.,बहुत कम कंपनियों को यह पुरस्कार इतने वर्षो तक लगातार मिला है।,बहुत कम कंपनियों को यह पुरस्कार इतने लगातार कई सालों से मिला है ।,Very few companies have received this award for so many consecutive years.,<extra_id_0>
MRF has increased the size of the MRF ZLO Performance radials for high level vehicles.,एमआरएफ ने एमआरएफ जेएलओ नामक पफार्मेस रेडियल टायरों की सीमा में उच्च स्तर के वाहनों के लिए इजाफा किया है।,एमआरएफ ने उच्च स्तर की गाड़ियों के लिए MRF ZLO परफ़ॉर्मेंस का आकार बढ़ाया है.,MRF has increased the size of the MRF ZLO Performance radials for high level vehicles.,<extra_id_0>
"Low profile tyres in the range of 40,45 and 55 are now available for many vehicles including Audi, BMW, Mercedes and Jaguar. More than 70 models of premium vehicles in the size 13 range, can now seen on Indian Roads.","ऑडी, बीएमडब्ल्यू, मर्सडीज और जगूआर से लेकर कई अन्य वाहनों के लिए 40, 45 और 55 श्रेणी के कम प्रोफाइल वाले टायर अब उपलब्ध है। 13 आकार की सीमा में अब भारतीय सड़कों के 70 से ज्यादा प्रीमियम वाहनों के मॉडल शामिल है।","40, 45 और 55 की सीमा में कम प्रोफ़ाइलों के लिए अब अनेक वाहनों के लिए उपलब्ध हैं, जिनमें ऑडियो, बीएमई, मर्सिली और जॆर भी शामिल हैं. आकार 13 सीमा में 70 से भी ज़्यादा मॉडल हैं, अब भारतीय सड़कों पर देख सकते हैं.","Low profile tyres in the range of 40,45 and 55 are now available for many vehicles including Audi, BMW, Mercedes and Jaguar. More than 70 models of premium vehicles in the size 13 range, can now seen on Indian Roads.",<extra_id_0>.
"The Due-guard company presented a water purifier to the Naya Nangal Temple of Lord Valmiki, for safe drinking water.",नया नंगल के भगवान वाल्मीकि मंदिर में स्वच्छ पेयजल के लिए ड्यू गार्ड कंपनी की ओर से वाटर प्यूरीफायर भेंट किया गया है।,"इस शहर के रक्षा दल ने प्रभु वैली के मंदिर के पास एक जल से प्रवेश किया, जहाँ से पीने का पानी मिलता है।","The Due-guard company presented a water purifier to the Naya Nangal Temple of Lord Valmiki, for safe drinking water.",<extra_id_0>
"After receiving the water purifier from the company representatives J.K. Kaushik and Khushbu Kaushik, the Temple president Virendra Adiya said that this social act was very commendable, because now all the worshippers coming to the temple could enjoy clean drinking water.","कंपनी के प्रतिनिधि जेके कौशिक व खुशबू कौशिक की ओर से मंदिर को भेंट किया गया वाटर प्यूरीफायर प्राप्त कर मंदिर अध्यक्ष वीरेंद्र आदिया ने कहा कि समाज सेवा का यह कार्य सराहनीय है, क्योंकि अब मंदिर में आने वाले भक्तजन स्वच्छ पेयजल का उपयोग कर सकेंगे।","इसके बाद, मंदिर के राष्ट्रपति वशश कुशाई ने कहा कि यह सामाजिक कार्य बहुत ही प्रशंसनीय था, क्योंकि अब सभी उपासक मंदिर में आए हुए पानी को साफ - सुथरा रख सकते हैं ।","After receiving the water purifier from the company representatives J.K. Kaushik and Khushbu Kaushik, the Temple president Virendra Adiya said that this social act was very commendable, because now all the worshippers coming to the temple could enjoy clean drinking water.",<extra_id_0>
"The 77 year old former Italian Prime Minister, Silvio Berlusconi, known for his Bunga Bunga parties, has married a 28 year old girl in an extremely secretive manner.",बुंगा-बुंगा पार्टियों के लिए चर्चित इटली के पूर्व प्रधानमंत्री 77 वर्षीय सिल्वियो बर्लुस्कोनी ने 28 वर्षीय लड़की से बेहद खुफिया तरीके से शादी कर ली है।,"77 साल का भूतपूर्व प्रधान मंत्री, सलिवो बॉवॉइ ने अपनी पिगा पार्टी के लिए जाने जाते हुए एक 28 साल की लड़की से शादी कर ली है ।","The 77 year old former Italian Prime Minister, Silvio Berlusconi, known for his Bunga Bunga parties, has married a 28 year old girl in an extremely secretive manner.",<extra_id_0>
"This was revealed by a family friend, Marythell Polanco.",यह खुलासा उनके पारिवारिक मित्र मार्थेल पोलांको ने किया है।,"इस बात को परिवार के एक मित्र, मॆरी पोल्सो ने प्रकट किया ।","This was discovered by a family friend, Marythell Polanco.",<extra_id_0>
"According to her, the three times Prime Minister Berlusconi has married former TV anchor Francisca Pascale in his private chapel.","उनके मुताबिक, तीन बार प्रधानमंत्री रह चुके बर्लुस्कोनी ने पूर्व टीवी एंकर फ्रांसिस्का पास्कल से अपने निजी चैपल में शादी कर ली है।",उसका कहना है कि तीन बार प्रधानमंत्री भूतपूर्व टीवी एंकर फ्रांसिसो ने अपनी निजी उपासना में भूतपूर्व लंगरों की शादी कर ली है।,"According to her, the three times Prime Minister Berlusconi has married former TV anchor Francisca Pascale in his private chapel.",<extra_id_0>.
Francisca met Berlusconi when she was a teenage activist with the Forza Italia Party.,"फ्रांसिस्का की बलुस्कोनी से मुलाकात तब हुई थी, जब वह फोर्जा इटालिया पार्टी में टीनेज एक्टिविस्ट थीं।",फ्रांसिसका ने ब्लैन्टी से मुलाकात की जब वह एक किशोर कार्यकर्ता था के साथ ... ... surriamia पार्टी के साथ.,Francisca met Berlusconi when she was a teenage activist with the Forza Italia Party.,<extra_id_0>.
"This is the same Francisca, about whom it has been said that her relationship with Berlusconi is a sham.","यह वहीं फ्रांसिस्का हैं, जिनके रिश्ते के बारे कहा जा रहा था कि बलरुस्कोनी के साथ उनका रिश्ता महज दिखावा है।","यह वही फ्रांसिसका है, जिसके बारे में कहा गया है कि Berrersoni के साथ उसका रिश्‍ता एक साम है ।","This is the same Francisca, about whom it has been said that her relationship with Berlusconi is a sham.",<extra_id_0>
Berlusconi's close friend and the Bunga Bunga Girl Marythell Polanco revealed that she was also invited to this secret wedding.,बर्लुस्कोनी की नजदीकी दोस्त और बुंगा-बुंगा गर्ल मार्थेल पोलांको ने खुलासा किया है कि उन्हें भी इस खुफिया विवाह में आमंत्रित किया गया था।,"ब्लू के करीब दोस्त और बनगा बूका लड़की, मैरी पोल्सको ने प्रकट किया कि उसे भी इस गुप्त शादी के लिए आमंत्रित किया गया था।",Berlusconi's close friend and the Bunga Bunga Girl Marythell Polanco revealed that she was also invited to this secret wedding.,<extra_id_0>
This ceremony took place three weeks ago.,यह समारोह तीन हफ्ते पहले ही हुआ है।,यह समारोह तीन सप्ताह पहले हुआ था.,This ceremony took place three weeks ago.,<extra_id_0>
"During the revelation on Italian Radio 2, when Polanco was asked what would happen if those two were to get married, Polanco replied that they are already married.","इटैलियन रेडियो2 पर हुए खुलासे में जब पोलांको से पूछा गया कि अगर यह दोनों शादी कर लें तो क्या होगा, इस पर पोलांको ने कहा है कि वे दोनों पहले से ही शादीशुदा हैं।","इतालवी रेडियो २ पर प्रकाश के दौरान, जब पोलिकाको से पूछा गया कि क्या होगा यदि वे दोनों विवाह करने के लिए होंगे, पोलिकाको ने जवाब दिया कि वे पहले से ही विवाहित हैं ।","During the revelation on Italian Radio 2, when Polanco was asked what would happen if those two were to get married, Polanco replied that they are already married.",<extra_id_0>
This was not a public ceremony.,यह कोई सार्वजनिक समारोह नहीं था।,यह एक सार्वजनिक समारोह नहीं था ।,This was not a public ceremony.,<extra_id_0>
This wedding was held in the chapel at the former Prime Minister's home.,यह शादी पूर्व प्रधानमंत्री के घर में स्थित निजी चैपल में हुई थी।,इस शादी को भूतपूर्व प्रधानमंत्री के घर में गिरजे में आयोजित किया गया था.,This wedding was held in the chapel at the former Prime Minister's home.,<extra_id_0>
"Other than this, no one can say anything more.",इसके अलावा कोई कुछ नहीं बता सकता।,"इसके अलावा, कोई और अधिक कुछ नहीं कह सकता है.","Other than this, no one can say anything more.",<extra_id_0>
"However, she did not go to the wedding.",हालांकि वह इस शादी में नहीं गई।,"लेकिन, वह शादी के लिए नहीं गयी ।","However, she did not go to the wedding.",<extra_id_0>
She had sent her best wishes to the newlyweds.,उन्होंने अपनी बधाई नवजोड़े को भेज दी है।,उसने अपनी सबसे अच्छी इच्छा शादी करने के लिए भेजी थी ।,She had sent her best wishes to the newlyweds.,<extra_id_0>
They got married about three weeks ago on October 8th or 9th.,दोनों ने करीब तीन हफ्ते पहले यानी 8 या 9 अक्टूबर को विवाह रचाया।,अक्‍तूबर ८ या ९वें पर उन्होंने लगभग तीन सप्ताह पहले शादी कर ली ।,They got married about three weeks ago on October 8th or 9th,<extra_id_0>
"He got engaged about 8 months ago to the 28 year old woman, Francesca Pascale, who is 50 years younger than him.",करीब 8 महीने पहले अपने से 50 साल छोटी 28 वर्षीय महिला फ्रांसेस्का पास्कल से सगाई की थी।,"उसे करीब 8 महीने पहले 28 साल की महिला, फ्रांस के वासियों के पास लाया गया था, जो उससे 50 साल छोटे हैं ।","He got engaged about 8 months ago to the 28 year old woman, Francesca Pascale, who is 50 years younger than him.",<extra_id_0>
"To avoid embarrassment, Berlusconi claimed loneliness as the reason for his decision to marry.",किरकिरी से बचने के लिए बर्लुस्कोनी ने अपने इस फैसले के पीछे अकेलेपन को आधार बनाया था।,"शर्म से बचने के लिए, ब्लू ने अपने निर्णय के कारण अकेलेपन का दावा किया ।","To avoid embarrassment, Berlusconi claimed loneliness as the reason for his decision to marry.",<extra_id_0>
"Between the hide and seek with the sun, rain continued in low-lying areas.",निचले इलाकों में भी सूरज की आंख-मिचौली के बीच रुक-रुककर बारिश जारी रही।,छिपने और धूप से बचने के लिए बारिश कम हो जाती थी ।,"Between the hide and seek with the sun, rain continued in lowlying areas.",<extra_id_0>
This created a cold front in the valley.,इसके साथ ही पूरी वादी में शीतलहर शुरू हो गई है।,यह घाटी में एक ठंड सामने बनाया.,This created a cold front in the valley.,<extra_id_0>
"The cold could be gauged by the fact that the minimum temperature at Shrinagar was 4.8 degrees Celsius, in Gulmarg it was below 0 at -0.2 degrees and in Leh it reached -1.8 degrees Celsius.","ठंड का अंदाजा इसी बात से लगाया जा सकता है कि श्रीनगर में न्यूनतम तापमान 4.8 डिग्री सेल्सियस, गुलमर्ग में शून्य से नीचे -0.2 डिग्री और लेह में -1.8 डिग्री सेल्सियस पहुंच गया है।",यह इस बात से पता लगाया जा सकता है कि श्‍गर में कम - से - कम तापमान 4 डिग्री सेल्सियस था ।,"The cold could be gauged by the fact that the minimum temperature at Shrinagar was 4.8 degrees Celsius, in Gulmarg it was below 0 at -0.2 degrees and in Leh it reached -1.8 degrees Celsius.",<extra_id_0>
Leh was the coolest place in the whole state.,पूरे राज्य में लेह सबसे ठंडा रहा।,लेओ पूरे राज्य में सबसे शांत जगह थी.,Leh was the coolest place in the whole state.,<extra_id_0>
"However, due to rain and snow the strategically important Srinagar to Leh national highway has been closed to traffic.","वहीं, बारिश और हिमपात के चलते सामरिक दृष्टि से महत्वपूर्ण श्रीनगर-लेह राष्ट्रीय राजमार्ग यातायात के लिए बंद हो गया है।","लेकिन, बारिश और हिम के कारण लेघा राष्ट्रीय सड़क पर ख़तरनाक रीति से बंद कर दिया गया है ।","However, due to rain and snow the strategically important Srinagar to Leh national highway has been closed to traffic.",<extra_id_0>
There is heavy snowfall in the Jozilla Pass.,जोजिला दर्रे पर भारी हिमपात हुआ है।,जेजेा पास में भारी बरफबारी गिरता है.,There is heavy snowfall in the Jozilla Pass.,<extra_id_0>
This is the fourth snowfall of the season in the Kashmir valley and the first heavy snowfall.,कश्मीर के पहाड़ी इलाकों में इस मौसम का यह चौथा और पहला भारी हिमपात हुआ है।,यह नामी घाटी के मौसम और पहली भारी बर्फबारी का चौथा हिमोज है.,This is the fourth snowfall of the season in the Kashmir valley and the first heavy snowfall.,<extra_id_0>
"Due to the western disturbance activity, since the early hours of Thursday the higher hilly regions have experienced some snowfall and the low lying areas had rainfall, that continued until late into the evening.","पश्चिमी विक्षोभ की सक्रियता के कारण वीरवार तड़के ही वादी के उच्चपर्वतीय इलाकों में हिमपात व निचले इलाकों में बारिश का दौर शुरू हो गया, जो देर शाम तक जारी रहा।","पश्‍चिमी उपद्रवी गतिविधि के कारण, गुरुवार के उच्च पहाड़ी क्षेत्रों के आरंभिक घंटों से बर्फ के झोंके और नीचे पड़े झूठे क्षेत्रों का अनुभव किया गया है, और यह शाम तक जारी रहा है ।","Due to the western disturbance activity, since the early hours of Thursday the higher hilly regions have experienced some snowfall and the low lying areas had rainfall, that continued until late into the evening.",<extra_id_0>.
Normal life has also been affected by the cold.,ठंड से सामान्य जनजीवन भी प्रभावित होकर रह गया।,सामान्य जीवन भी ठंड से प्रभावित हुआ है ।,Normal life has also been affected by the cold.,<extra_id_0>
People remained in their homes to avoid the cold.,शीतलहर से बचने के लिए लोग घरों में दुबके रहे।,लोग ठंड से बचने के लिए अपने घरों में रहे ।,People remained in their homes to avoid the cold.,<extra_id_0>
"Meanwhile, the electricity supply has also failed in this area.","इस बीच, कई इलाकों में बिजली आपूर्ति भी ठप रहा।","इस बीच, इस क्षेत्र में बिजली की आपूर्ति भी असफल हुई है ।","Meanwhile, the electricity supply has also failed in this area.",<extra_id_0>
The day temperatures in Shrinagar were four degrees below normal and were recorded at 13.7 degrees Celsius.,श्रीनगर का दिन का अधिकतम तापमान सामान्य से चार डिग्री नीचे 13.7 डिग्री सेल्सियस दर्ज किया गया।,यह तापमान 13 डिग्री सेल्सियस तक फैला हुआ था ।,The day temperatures in Shrinagar were four degrees below normal and were recorded at 13.7 degrees Celsius.,<extra_id_0>
"Due to the rains along with strong winds in Jammu in the early morning of Thursday, the cold increased at night.",वहीं जम्मू में भी वीरवार तड़के तेज हवा के साथ हुई बारिश के कारण रात के समय ठंड बढ़ गई है।,"इसके अलावा, गुरुवार की सुबह के वक्‍त जामू में मूसलाधार बारिश होने की वजह से रात में ठंड बढ़ती गयी ।","Due to the rains along with strong winds in Jammu in the early morning of Thursday, the cold increased at night",<extra_id_0> in Hindi
A minimum temperature of 16.6 and a maximum temperature of 27.0 degrees Celsius were recorded in Jammu.,जम्मू में न्यूनतम तापमान 16.6 और अधिकतम 27.0 डिग्री सेल्सियस रिकॉर्ड किया गया।,"सन्‌ 1666 का न्यूनतम तापमान और 27 डिग्री सेल्सियस का तापमान, जामी में रिकॉर्ड किया गया था ।",Temperatures recorded in Jammu in the last 24 hours,<extra_id_0>
"According to the weather department, the influence of the western disturbances is declining and the weather will improve by Friday.","मौसम विभाग के अनुसार, पश्चिमी विक्षोभ का प्रभाव घटने लगा है और शुक्रवार से मौसम में सुधार आएगा।",मौसम विभाग के मुताबिक पश्‍चिम गड़बड़ी का असर बढ़ता जा रहा है और मौसम शुक्रवार तक सुधरता है ।,"According to the weather department, the influence of the western disturbances is declining and the weather will improve by Friday.",<extra_id_0>
"According to the Shrinagar weather department's Director, Sonam Lots, the weather in the valley from November the first to the seventh is expected to be dry.",श्रीनगर स्थित मौसम विभाग के निदेशक सोनम लोट्स के अनुसार पहली नवंबर से एक सात नवंबर तक वादी में मौसम शुष्क रहने की संभावना है।,"श्‍गरियन मौसम विभाग के वकील, बेटाम लूत, के मुताबिक पहली बार नवंबर से लेकर सातवें तक की घाटी में मौसम खराब होने की उम्मीद की जाती है ।","According to the Shrinagar weather department's Director, Sonam Lots, the weather in the valley from the first to the seventh is expected to be dry.",<extra_id_0> -
"Asaram, jailed on sexual assault charges, was once again disappointed by the Supreme Court on Friday.",यौन उत्पीड़न के आरोप में जेल में बंद आसाराम को शुक्रवार को एक बार फिर सुप्रीम कोर्ट से निराशा ही हाथ लगी।,"एक बार फिर, शुक्रवार के हाई कोर्ट ने आसाराम को फिर से निराश कर दिया ।","Asaram, jailed on sexual assault charges, was once again disappointed by the Supreme Court on Friday.",<extra_id_0>.
"It was pleaded on behalf of Asaram that the media coverage is presenting him as a kind of Dracula drinking the blood of children, but the Supreme Court denied his request to ban the media coverage.","आसाराम की ओर से दलील दी गई मीडिया कवरेज में उन्हें बच्चों का रक्त पीने वाले ड्रैकुला के रूप में पेश किया जा रहा है, लेकिन अदालत ने मीडिया कवरेज पर रोक लगाने की उनकी मांग खारिज कर दी।","आसाराम के पक्ष में यह निवेदन किया गया कि मीडिया ने उसे बच्चों का खून पीने के रूप में प्रस्तुत किया है, लेकिन सर्वोच्च न्यायालय ने मीडिया के प्रतिबंध पर प्रतिबंध लगाने के लिए उसकी बिनती को अस्वीकार किया ।","It was pleaded on behalf of Asaram that the media coverage is presenting him as a kind of Dracula drinking the blood of children, but the Supreme Court denied his request to ban the media coverage.",<extra_id_0>
Chief Judge P. Satshivam's panel refused to ban the media coverage about Asaram and said that they had read every word reported by the media and had not found anything objectionable in it.,मुख्य न्यायाधीश पी. सतशिवम की पीठ ने आसाराम के बारे में मीडिया को खबर चलाने से रोकने का आदेश देने से इन्कार करते हुए कहा कि उन्होंने मीडिया में रिपोर्ट किए गये हर शब्द को देखा है और उन्हें उसमें दखल देने का कोई कारण नजर नहीं आता।,मुख्य न्यायाधीश पी. रिशीशीवा के पैनल ने आसाम के बारे में मीडिया विस्तार पर प्रतिबंध लगाने से इनकार कर दिया और कहा कि वे मीडिया द्वारा रिपोर्ट किए गए हर शब्द को पढ़ने से इनकार कर दिया था और इसमें कोई आपत्ति नहीं थी.,Chief Judge P. Satshivam's panel refused to ban the media coverage about Asaram and said that they had read every word reported by the media and had not found anything objectionable in it.,<extra_id_0>.
When they are receiving information from the police and other people how can we stop them?,जब पुलिस और अन्य लोगों से वे सूचनाएं हासिल कर रहे हैं तो हम उन्हें कैसे रोक सकते हैं।,जब पुलिस और अन्य लोगों से जानकारी प्राप्त की जाती है तो हम उन्हें कैसे रोक सकते हैं?,When they are receiving information from the police and other people how can we stop them?,<extra_id_0>
Before that Asaram's lawyers accused the media of showing highly biased news.,इससे पहले आसाराम के वकील ने मीडिया पर आरोप लगाया कि वह उनके बारे में बढ़ा-चढ़ा कर खबरें दिखा रहा है।,इससे पहले कि आसाराम के वकील ने मीडिया पर बहुत अत्याचार किया।,Before that Asaram's lawyers accused the media of showing highly biased news.,<extra_id_0>
The country has so many newspapers and news channels.,देश में इतने अखबार और चैनल हैं।,इस देश में इतने सारे समाचार पत्र और समाचार चैनल हैं ।,The country has so many newspapers.,<extra_id_0>
"They cannot file cases against every one of them, but the panel was not influenced by this plea and refused to file a complaint, saying that they had other options too.","वे किस-किस के खिलाफ मामला दाखिल करें, लेकिन पीठ इन दलीलों से प्रभावित नहीं हुई और मामले में दखल देने से इन्कार करते हुए कहा कि उनके पास और भी विकल्प हैं।","वे हर किसी के खिलाफ कुछ भी नहीं कर सकते, लेकिन पैनल में इस बिनती का असर नहीं हुआ और न ही उन्होंने शिकायत की कि उनके पास भी दूसरे विकल्प थे ।","They cannot file cases against every one of them, but the panel was not influenced by this plea and refused to file a complaint, saying that they had other options too.",<extra_id_0>.
